"x"	"y"	"pres"
"362"	2579498.5	1126100.5	0
"363"	2572496.9	1147096.7	1
"364"	2579600	1125798.4	0
"365"	2579705.7	1139600.7	0
"366"	2579000	1125099.2	0
"367"	2580000.6	1125598.8	0
"368"	2569772.6	1134297.1	1
"369"	2579899.2	1125101.4	0
"370"	2567204.4	1135794.2	0
"371"	2577599.3	1125597.3	0
"372"	2571084.2	1137391.69999999	0
"373"	2578503.8	1144203.7	0
"374"	2572500	1118400	1
"375"	2578357.6	1143628.6	0
"376"	2580203	1142698.8	0
"377"	2560976.8	1142847.2	0
"378"	2572987.7	1120285.6	0
"379"	2571600.6	1138301.1	0
"380"	2581701.1	1141200.9	0
"381"	2581299.1	1144899.3	0
"382"	2571003.2	1130794.3	0
"383"	2567504.8	1137198.5	0
"384"	2581099.1	1136598.8	0
"385"	2572001.4	1118302.7	0
"386"	2581701.1	1141098.49999999	0
"387"	2579098.5	1123904.7	0
"388"	2577197.6	1133097	1
"389"	2572402.2	1117799.7	0
"390"	2572102.5	1117100.2	0
"391"	2571597.6	1117099.2	0
"392"	2577301.6	1122003.7	0
"393"	2577301.8	1122199	0
"394"	2578998	1123800.3	0
"395"	2578898.3	1123699.5	0
"396"	2563606.7	1140403	1
"397"	2572402.1	1117700.7	0
"398"	2579000.2	1136502.1	0
"399"	2572300.2	1117997	0
"400"	2572403.8	1118198.8	0
"401"	2577103.5	1121999.19999999	0
